	Match	HOdds	DOdds	VOdds
0	Holstein Kiel - Wolfsburg  0:1	2.33	3.71	2.90
1	Wolfsburg - Holstein Kiel  3:1	2.00	3.39	4.09
2	Bayer Leverkusen - Hannover 3:2	1.21	7.31	12.34
3	Freiburg - Augsburg 2:0	2.07	3.17	4.07
4	Hertha Berlin - RB Leipzig 2:6	4.28	3.98	1.80
5	Mainz - Werder Bremen 1:2	2.55	3.67	2.67
6	Wolfsburg - FC Koln 4:1	1.64	4.08	5.31
7	FC Koln - Bayern Munich 1:3	9.37	5.99	1.30
8	B. Monchengladbach - Freiburg 3:1	1.98	3.53	3.98
9	Eintracht Frankfurt - Hamburger SV 3:0	1.97	3.79	3.78
10	RB Leipzig - Wolfsburg 4:1	1.73	4.01	4.69
11	Werder Bremen - Bayer Leverkusen 0:0	3.85	4.02	1.88
12	Werder Bremen - Dortmund 1:1	3.96	3.98	1.86
13	Bayer Leverkusen - Stuttgart 0:1	1.45	4.74	7.09
14	Freiburg - FC Koln 3:2	2.10	3.56	3.52
15	Schalke - B. Monchengladbach 1:1	1.91	3.67	4.11
16	Hoffenheim - Hannover 3:1	1.29	6.15	9.59
17	FC Koln - Schalke 2:2	3.55	3.51	2.11
18	Dortmund - Bayer Leverkusen 4:0	2.20	3.64	3.25
19	Hamburger SV - Freiburg 1:0	2.09	3.38	3.76
20	RB Leipzig - Hoffenheim 2:5	2.28	3.81	2.99
21	B. Monchengladbach - Wolfsburg 3:0	1.75	3.87	4.78
22	Mainz - Freiburg 2:0	2.18	3.23	3.67
23	Werder Bremen - RB Leipzig 1:1	2.63	3.61	2.60
24	Bayern Munich - B. Monchengladbach 5:1	1.37	5.35	8.12
25	Hertha Berlin - FC Koln 2:1	1.83	3.83	4.29
26	Stuttgart - Hannover 1:1	1.83	3.72	4.46
27	Wolfsburg - Augsburg 0:0	2.22	3.27	3.50
28	RB Leipzig - Bayer Leverkusen 1:4	2.21	3.71	3.17
29	Eintracht Frankfurt - Hoffenheim 1:1	2.37	3.54	2.97
30	Bayern Munich - Stuttgart 1:4	1.18	8.15	13.39
31	Hamburger SV - B. Monchengladbach 2:1	2.23	3.95	2.93
32	Hoffenheim - Dortmund 3:1	2.27	4.09	2.80
33	Schalke - Eintracht Frankfurt 1:0	2.25	3.42	3.25
34	Augsburg - Schalke 1:2	3.13	3.25	2.42
35	Dortmund - Mainz 1:2	1.34	5.49	9.07
36	Hannover - Hertha Berlin 3:1	2.66	3.33	2.74
37	Stuttgart - Hoffenheim 2:0	3.01	3.65	2.31
38	Mainz - RB Leipzig 3:0	3.48	3.64	2.09
39	Bayern Munich - Eintracht Frankfurt 4:1	1.96	3.65	3.87
40	Hertha Berlin - Augsburg 2:2	2.07	3.46	3.69
41	Wolfsburg - Hamburger SV 1:3	2.30	3.38	3.21
42	Augsburg - Mainz 2:0	2.35	3.28	3.22
43	Eintracht Frankfurt - Hertha Berlin 0:3	1.93	3.51	4.22
44	Hannover - Bayern Munich 0:3	6.68	4.85	1.45
45	Stuttgart - Werder Bremen 2:0	2.46	3.36	2.97
46	Schalke - Dortmund 2:0	3.01	3.37	2.43
47	Bayer Leverkusen - Eintracht Frankfurt 4:1	1.71	3.84	5.06
48	Hoffenheim - Hamburger SV 2:0	1.51	4.61	6.13
49	Dortmund - Stuttgart 3:0	1.55	4.45	5.96
50	Hamburger SV - Schalke 3:2	4.35	3.46	1.91
51	Augsburg - Bayern Munich 1:4	7.25	4.57	1.46
52	Freiburg - Wolfsburg 0:2	2.37	3.10	3.39
53	Hannover - Werder Bremen 2:1	3.07	3.62	2.29
54	Mainz - B. Monchengladbach 0:0	2.99	3.46	2.39
55	Hertha Berlin - Wolfsburg 0:0	2.28	3.21	3.45
56	Bayer Leverkusen - Augsburg 0:0	1.48	4.52	6.98
57	Hoffenheim - FC Koln 6:0	1.59	4.48	5.37
58	Stuttgart - Hamburger SV 1:1	1.67	3.74	5.67
59	RB Leipzig - Bayern Munich 2:1	5.37	4.25	1.62
60	Dortmund - Hannover 1:0	1.46	4.73	6.88
61	Wolfsburg - Schalke 0:1	3.88	3.34	2.07
62	B. Monchengladbach - Hoffenheim 3:3	3.11	3.66	2.25
63	Hamburger SV - Hertha Berlin 1:2	2.83	3.08	2.75
64	Freiburg - Stuttgart 1:2	2.55	3.14	3.07
65	Werder Bremen - FC Koln 3:1	1.82	3.76	4.44
66	Dortmund - Eintracht Frankfurt 3:2	1.85	3.58	4.49
67	Bayer Leverkusen - B. Monchengladbach 2:0	1.68	4.05	4.99
