	Match	HOdds	DOdds	VOdds
0	Barcelona - Real Sociedad 1:0	1.30	6.44	8.51
1	Ath Bilbao - Espanyol 0:1	1.93	3.68	3.94
2	Villarreal - Real Madrid 2:2	4.38	4.84	1.67
3	Malaga - Getafe 0:1	3.21	3.51	2.23
4	Leganes - Betis 3:2	2.34	3.60	2.95
5	Levante - Barcelona 5:4	7.64	5.40	1.38
6	Real Madrid - Celta Vigo 6:0	1.25	6.76	10.60
7	Betis - Sevilla 2:2	2.94	3.61	2.35
8	Eibar - Las Palmas 1:0	1.40	4.89	8.14
9	Girona - Valencia 0:1	2.13	3.60	3.38
10	Sevilla - Real Madrid 3:2	2.11	4.12	3.10
11	Leganes - Levante 0:3	2.21	3.24	3.58
12	Barcelona - Real Madrid 2:2	1.76	4.50	4.02
13	Atl. Madrid - Espanyol 0:2	1.54	3.79	7.71
14	Villarreal - Valencia 1:0	2.38	3.52	3.03
15	Ath Bilbao - Betis 2:0	2.14	3.51	3.46
16	Sevilla - Real Sociedad 1:0	2.13	3.62	3.42
17	Betis - Malaga 2:1	1.44	4.56	7.57
18	Dep. La Coruna - Barcelona 2:4	13.32	7.01	1.22
19	Alaves - Atl. Madrid 0:1	3.64	3.25	2.19
20	Villarreal - Celta Vigo 4:1	1.71	3.89	5.09
21	Real Sociedad - Ath Bilbao 3:1	1.89	3.62	4.29
22	Levante - Sevilla 2:1	4.09	3.81	1.88
23	Ath Bilbao - Levante 1:3	1.70	3.72	5.43
24	Atl. Madrid - Betis 0:0	1.56	3.93	6.81
25	Malaga - Real Sociedad 2:0	4.37	3.46	1.92
26	Celta Vigo - Valencia 1:1	2.57	3.52	2.73
27	Leganes - Dep. La Coruna 0:0	2.41	3.24	3.18
28	Atl. Madrid - Eibar 2:2	1.46	4.30	7.95
29	Valencia - Dep. La Coruna 2:1	1.28	5.99	10.06
30	Las Palmas - Girona 1:2	3.31	3.80	2.10
31	Sevilla - Alaves  1:0	1.31	5.93	8.89
32	Celta Vigo - Levante 4:2	1.60	4.46	5.14
33	Espanyol - Malaga 4:1	1.62	3.81	6.08
34	Alaves - Ath Bilbao 3:1	2.87	3.25	2.62
35	Dep. La Coruna - Villarreal 2:4	4.53	4.18	1.72
36	Getafe - Atl. Madrid 0:1	3.69	3.08	2.24
37	Real Sociedad - Leganes 3:2	1.39	4.75	8.72
38	Barcelona - Villarreal 5:1	1.35	5.38	8.48
39	Las Palmas - Getafe 0:1	2.68	3.30	2.78
40	Malaga - Alaves 0:3	2.23	3.27	3.50
41	Celta Vigo - Dep. La Coruna 1:1	1.77	3.94	4.50
42	Girona - Eibar 1:4	2.11	3.35	3.72
43	Valencia - Eibar 0:0	1.52	4.19	7.04
44	Getafe - Girona 1:1	1.95	3.27	4.52
45	Real Madrid - Leganes 2:1	1.46	4.59	7.46
46	Espanyol - Las Palmas 1:1	1.41	4.64	8.70
47	Las Palmas - Alaves 0:4	3.09	3.37	2.37
48	Girona - Espanyol 0:2	2.11	3.16	4.02
49	Eibar - Getafe 0:1	2.22	3.05	3.85
50	Betis - Las Palmas 1:0	1.36	5.36	8.16
51	Alaves - Girona 1:2	2.02	3.34	4.08
52	Real Madrid - Ath Bilbao 1:1	1.19	7.88	14.32
53	Valencia - Getafe 1:2	1.64	3.81	5.96
54	Villarreal - Leganes 2:1	1.56	3.93	6.88
55	Dep. La Coruna - Sevilla 0:0	2.31	3.66	3.04
56	Malaga - Real Madrid 1:2	8.79	5.34	1.35
57	Atl. Madrid - Levante 3:0	1.27	5.60	13.91
58	Ath Bilbao - Dep. La Coruna 2:3	1.64	4.00	5.61
59	Leganes - Celta Vigo 1:0	3.15	3.15	2.47
60	Sevilla - Villarreal 2:2	1.73	3.98	4.75
61	Girona - Betis 0:1	2.17	3.47	3.50
62	Villarreal - Ath Bilbao 1:3	1.91	3.42	4.50
63	Valencia - Espanyol 1:0	1.45	4.42	8.04
64	Real Madrid - Atl. Madrid 1:1	1.75	3.84	4.80
65	Barcelona - Leganes 3:1	1.12	9.23	26.38
66	Celta Vigo - Sevilla 4:0	2.24	3.57	3.19
67	Dep. La Coruna - Malaga 3:2	2.03	3.33	4.05
68	Getafe - Betis 0:1	2.24	3.31	3.45
69	Atl. Madrid - Dep. La Coruna 1:0	1.34	5.14	10.00
70	Malaga - Villarreal 1:0	4.31	3.39	1.95
71	Espanyol - Alaves 0:0	1.95	3.27	4.47
72	Sevilla - Barcelona 2:2	4.52	4.00	1.76
73	Ath Bilbao - Celta Vigo 1:1	2.24	3.32	3.43
74	Real Madrid - Girona 6:3	1.17	8.56	15.15
75	Villarreal - Atl. Madrid 2:1	3.72	3.32	2.13
76	Leganes - Sevilla 2:1	3.80	3.36	2.09
77	Betis - Espanyol 3:0	2.28	3.32	3.36
78	Valencia - Alaves 3:1	1.46	4.48	7.69
79	Levante - Eibar 2:1	3.30	3.24	2.34
80	Levante - Malaga 1:0	1.92	3.35	4.52
81	Real Sociedad - Atl. Madrid 3:0	3.03	3.29	2.46
82	Espanyol - Eibar 0:1	2.04	3.20	4.26
83	Celta Vigo - Barcelona 2:2	3.62	3.80	2.00
84	Getafe - Espanyol 1:0	2.13	3.11	4.00
85	Eibar - Alaves 0:1	1.92	3.35	4.53
86	Las Palmas - Real Sociedad 0:1	4.04	3.80	1.88
87	Barcelona - Valencia 2:1	1.31	5.83	9.78
88	Real Sociedad - Girona 5:0	2.01	3.50	3.91
89	Levante - Las Palmas 2:1	1.81	3.74	4.53
90	Betis - Eibar 2:0	2.26	3.50	3.21
91	Alaves - Getafe 2:0	2.50	3.07	3.20
92	Eibar - Real Sociedad 0:0	2.30	3.40	3.21
93	Leganes - Valencia 0:1	3.79	3.31	2.11
94	Las Palmas - Real Madrid 0:3	8.51	5.87	1.33
95	Girona - Levante 1:1	1.65	3.81	5.90
96	Celta Vigo - Malaga 0:0	1.55	4.09	6.73
97	Barcelona - Ath Bilbao 2:0	1.16	8.04	18.56
98	Real Sociedad - Getafe 1:2	1.74	3.70	5.10
99	Dep. La Coruna - Las Palmas 1:1	1.74	3.81	4.94
100	Alaves - Betis 1:3	2.23	3.42	3.38
101	Ath Bilbao - Leganes 2:0	1.86	3.25	5.16
102	Atl. Madrid - Celta Vigo 3:0	1.34	5.09	10.35
103	Malaga - Barcelona 0:2	9.65	4.97	1.36
104	Sevilla - Valencia 0:2	2.05	3.63	3.65
105	Girona - Dep. La Coruna 2:0	1.65	3.96	5.51
106	Celta Vigo - Las Palmas 2:1	1.38	5.06	8.71
107	Valencia - Betis 2:0	1.51	4.63	6.21
108	Barcelona - Atl. Madrid 1:0	1.66	3.93	5.47
109	Real Madrid - Getafe 3:1	1.22	7.06	13.11
110	Leganes - Malaga 2:0	2.21	3.04	3.88
111	Villarreal - Girona 0:2	1.69	3.82	5.37
112	Alaves - Levante 1:0	1.88	3.38	4.72
