	Match	HOdds	DOdds	VOdds
0	Toulouse - AC Ajaccio  1:0	1.72	3.61	5.05
1	AC Ajaccio - Toulouse  0:3	3.65	3.12	2.16
2	AC Ajaccio - Le Havre 3:2 pen.	2.26	3.04	3.44
3	Caen - Paris SG 0:0	4.01	3.54	1.94
4	Lyon - Nice 3:2	1.46	4.96	6.38
5	Metz - Bordeaux 0:4	7.71	5.12	1.38
6	Rennes - Montpellier 1:1	1.90	3.44	4.37
7	Toulouse - Guingamp 2:1	1.63	4.22	5.10
8	Le Havre - Brest 2:0	1.98	3.33	3.80
9	Amiens - Metz 2:0	1.72	3.94	4.69
10	Bordeaux - Toulouse 4:2	1.78	3.65	4.74
11	Monaco - St Etienne 1:0	1.70	3.97	4.88
12	Nice - Caen 4:1	1.57	3.99	6.17
13	Strasbourg - Lyon 3:2	5.48	4.54	1.56
14	Guingamp - Marseille 3:3	4.95	4.23	1.65
15	Marseille - Nice 2:1	1.80	3.79	4.36
16	Dijon - Guingamp 3:1	2.74	3.41	2.56
17	Nantes - Montpellier 0:2	2.13	3.25	3.69
18	Toulouse - Lille 2:3	2.32	3.20	3.29
19	St Etienne - Bordeaux 1:3	2.02	3.34	3.99
20	Amiens - Paris SG 2:2	9.86	5.98	1.28
21	Paris SG - Guingamp 2:2	1.10	10.41	22.63
22	Rennes - Toulouse 2:1	1.91	3.41	4.32
23	Bordeaux - Dijon 3:1	1.53	4.20	6.51
24	Monaco - Amiens 0:0	1.22	6.56	13.55
25	Troyes - Caen 3:1	2.37	3.13	3.29
26	Montpellier - St Etienne 0:1	2.49	3.17	3.06
27	Caen - Toulouse 0:0	2.89	2.78	2.93
28	Bordeaux - Paris SG 0:1	6.49	4.58	1.48
29	Nice - Montpellier 1:0	2.00	3.27	4.21
30	Amiens - Strasbourg 3:1	2.62	3.10	2.95
31	Dijon - Angers 2:1	2.30	3.59	3.00
32	Marseille - Amiens 2:1	1.22	7.22	11.76
33	Nantes - Strasbourg 1:0	1.78	3.75	4.60
34	St Etienne - Lille 5:0	1.58	4.25	5.60
35	Troyes - Monaco 0:3	4.71	3.89	1.72
36	Angers - Nantes 0:2	2.32	3.24	3.24
37	Lille - Dijon 2:1	1.47	4.51	6.88
38	Montpellier - Troyes 1:1	1.71	3.80	5.12
