	Match	HOdds	DOdds	VOdds
0	Burnley - Bournemouth 1:2	2.36	3.44	3.12
1	Huddersfield - Arsenal 0:1	5.63	4.67	1.56
2	Manchester Utd - Watford 1:0	1.52	4.35	6.74
3	Southampton - Manchester City 0:1	6.26	4.58	1.52
4	Tottenham - Leicester  5:4	1.37	5.47	8.04
5	West Ham - Manchester Utd 0:0	4.52	3.82	1.81
6	Manchester City - Brighton 3:1	1.17	7.49	16.22
7	Chelsea - Huddersfield 1:1	1.25	5.95	14.93
8	Swansea - Southampton 0:1	3.30	3.20	2.41
9	Arsenal - Burnley 5:0	1.43	4.87	7.76
10	Manchester City - Huddersfield 0:0	1.09	12.62	27.44
11	Everton - Southampton 1:1	2.79	3.31	2.68
12	Leicester - West Ham 0:2	2.28	3.48	3.27
13	West Brom - Tottenham 1:0	7.31	4.45	1.48
14	Brighton - Manchester Utd 1:0	4.94	3.50	1.84
15	Tottenham - Watford  2:0	1.17	8.37	16.73
16	Manchester Utd - Arsenal 2:1	1.39	5.32	8.07
17	Swansea - Chelsea 0:1	7.53	4.68	1.45
18	Crystal Palace - Leicester 5:0	2.08	3.52	3.74
19	Newcastle - West Brom 0:1	1.96	3.36	4.43
20	Liverpool - Stoke 0:0	1.29	5.88	11.12
21	Everton - Newcastle 1:0	2.20	3.32	3.65
22	Manchester City - Swansea 5:0	1.14	9.22	19.85
23	Stoke - Burnley 1:1	2.25	3.40	3.39
24	Watford - Crystal Palace 0:0	3.03	3.29	2.50
25	Burnley - Chelsea 1:2	4.40	3.55	1.91
26	Bournemouth - Manchester Utd 0:2	4.47	3.81	1.83
27	Brighton - Tottenham 1:1	6.42	4.25	1.56
28	West Ham - Stoke 1:1	1.99	3.48	4.10
29	Manchester Utd - West Brom 0:1	1.19	7.26	17.26
30	Tottenham - Manchester City  1:3	2.79	3.56	2.56
31	Crystal Palace - West Brom 2:0	1.78	3.84	4.69
32	Liverpool - Brighton 4:0	1.22	7.12	13.24
33	Newcastle - Chelsea 3:0	4.74	3.86	1.77
34	Swansea - Stoke 1:2	2.03	3.55	3.82
35	West Ham - Everton 3:1	2.33	3.39	3.22
36	Tottenham - Newcastle  1:0	1.21	7.29	14.53
37	Leicester - Arsenal 3:1	3.89	3.86	1.94
38	Chelsea - Liverpool 1:0	2.17	3.67	3.36
39	Bournemouth - Swansea 1:0	2.03	3.58	3.88
40	Watford - Newcastle 2:1	2.20	3.31	3.62
41	Stoke - Crystal Palace 1:2	2.54	3.45	2.87
42	West Ham - Manchester City 1:4	9.27	5.63	1.34
43	Burnley - Brighton 0:0	2.38	3.11	3.45
44	Huddersfield - Everton 0:2	2.69	3.04	3.01
45	Southampton - Bournemouth 2:1	1.70	4.04	5.06
46	Arsenal - West Ham 4:1	1.51	4.54	6.64
47	West Brom - Liverpool 2:2	6.43	4.06	1.59
48	Leicester - Southampton 0:0	2.39	3.45	3.10
49	Newcastle - Arsenal 2:1	2.94	3.49	2.48
50	Liverpool - Bournemouth 3:0	1.23	6.96	13.35
51	Crystal Palace - Brighton 3:2	1.86	3.48	4.82
52	Swansea - Everton 1:1	2.70	3.18	2.89
53	Chelsea - West Ham 1:1	1.31	5.72	11.00
54	Manchester City - Manchester Utd 2:3	1.85	3.69	4.56
55	Brighton - Huddersfield 1:1	1.74	3.64	5.50
56	Stoke - Tottenham 1:2	10.71	5.90	1.30
57	West Brom - Swansea 1:1	2.43	3.21	3.26
58	Chelsea - Tottenham 1:3	2.32	3.38	3.31
59	Everton - Manchester City 1:3	8.97	5.14	1.46
60	Manchester Utd - Swansea 2:0	1.23	6.53	15.02
61	Watford - Bournemouth 2:2	2.26	3.44	3.34
62	West Ham - Southampton 3:0	2.84	3.21	2.72
63	Liverpool - Watford 5:0	1.18	8.26	16.42
64	Huddersfield - Crystal Palace 0:2	2.76	3.16	2.83
65	Stoke - Manchester City 0:2	13.64	6.65	1.24
66	Bournemouth - Tottenham 1:4	7.30	4.88	1.45
67	Chelsea - Crystal Palace 2:1	1.31	5.58	11.45
68	Huddersfield - Swansea 0:0	2.48	3.08	3.30
69	West Brom - Leicester 1:4	3.17	3.33	2.41
70	Manchester Utd - Liverpool 2:1	3.08	3.24	2.52
71	Crystal Palace - Manchester Utd 2:3	7.69	4.55	1.47
72	Manchester City - Chelsea 1:0	1.53	4.63	6.27
73	Liverpool - Newcastle 2:0	1.21	7.27	14.50
74	Southampton - Stoke 0:0	1.74	3.68	5.36
75	Tottenham - Huddersfield  2:0	1.17	7.91	19.04
76	Burnley - Everton 2:1	2.57	3.00	3.24
77	Burnley - Leicester 2:1	2.62	3.17	2.98
78	Huddersfield - Watford 1:0	2.59	3.18	3.03
79	Southampton - Chelsea 2:3	4.63	3.74	1.82
80	Arsenal - Southampton 3:2	1.75	3.83	5.01
81	Bournemouth - Crystal Palace 2:2	2.57	3.48	2.81
82	Leicester - Newcastle 1:2	1.88	3.55	4.56
83	Watford - Burnley 1:2	2.35	3.20	3.41
84	Everton - Liverpool 0:0	3.68	3.45	2.12
85	Arsenal - Stoke 3:0	1.31	5.90	10.41
86	Brighton - Leicester 0:2	2.76	3.26	2.76
87	Newcastle - Huddersfield 1:0	1.77	3.63	5.29
88	West Brom - Burnley 1:2	2.60	3.09	3.10
