	Match	HOdds	DOdds	VOdds
0	Lazio - Inter 2:3	2.58	3.61	2.68
1	AC Milan - Fiorentina 5:1	1.67	4.08	4.89
2	Chievo - Benevento 1:0	1.69	3.99	4.90
3	Spal - Sampdoria 3:1	1.77	3.78	4.64
4	Genoa - Torino 1:2	2.24	3.64	3.09
5	Juventus - Verona 2:1	1.09	10.73	26.02
6	AS Roma - Juventus 0:0	2.88	2.95	2.81
7	Atalanta - AC Milan 1:1	2.19	2.99	4.01
8	Crotone - Lazio 2:2	4.28	3.48	1.92
9	Torino - Spal 2:1	1.92	3.48	4.29
10	Inter - Sassuolo 1:2	1.19	7.34	14.13
11	Cagliari - AS Roma 0:1	6.52	4.40	1.51
12	Chievo - Crotone 2:1	2.22	3.11	3.71
13	Lazio - Atalanta 1:1	1.95	3.59	3.99
14	Spal - Benevento 2:0	1.50	4.45	6.53
15	Juventus - Bologna 3:1	1.13	8.87	24.59
16	Torino - Lazio 0:1	5.04	4.03	1.68
17	Atalanta - Genoa 3:1	1.37	4.82	9.36
18	Bologna - AC Milan 1:2	5.58	3.85	1.66
19	Verona - Spal 1:3	3.30	3.24	2.32
20	Inter - Juventus 2:3	3.02	3.14	2.58
21	Genoa - Verona 3:1	1.42	4.54	8.32
22	Juventus - Napoli 0:1	2.27	3.23	3.48
23	Chievo - Inter 1:2	7.30	4.15	1.51
24	Udinese - Crotone 1:2	1.97	3.28	4.40
25	AC Milan - Benevento 0:1	1.23	6.51	13.60
26	Spal - AS Roma 0:3	5.04	3.65	1.77
27	Sassuolo - AS Roma 0:1	4.53	3.77	1.78
28	Cagliari - Atalanta 1:0	3.18	3.57	2.21
29	Napoli - Crotone 2:1	1.40	5.39	6.90
30	Udinese - Bologna 1:0	1.51	4.25	6.60
31	Sampdoria - Napoli 0:2	5.67	4.73	1.53
32	Bologna - Chievo 1:2	2.28	3.06	3.49
33	Fiorentina - Cagliari 0:1	1.55	4.34	5.94
34	Verona - Udinese 0:1	7.71	4.94	1.40
35	Benevento - Genoa 1:0	2.21	3.60	3.19
36	Sassuolo - Sampdoria 1:0	2.26	3.44	3.23
37	Genoa - Fiorentina 2:3	3.83	3.52	2.00
38	Napoli - Torino 2:2	1.22	6.84	12.83
39	Udinese - Inter 0:4	4.50	3.68	1.82
40	AC Milan - Verona 4:1	1.12	9.83	22.62
41	Fiorentina - Napoli 3:0	7.15	4.52	1.47
42	Benevento - Udinese 3:3	2.96	3.32	2.45
43	Sampdoria - Cagliari 4:1	1.93	3.55	4.14
44	Crotone - Sassuolo 4:1	2.28	3.23	3.42
45	AS Roma - Chievo 4:1	1.32	5.40	10.50
46	Atalanta - Torino 2:1	1.55	4.18	6.41
47	Lazio - Sampdoria 4:0	1.37	5.27	8.29
48	Cagliari - Bologna 0:0	1.96	3.32	4.33
49	Sassuolo - Fiorentina 1:0	2.95	3.23	2.54
50	AS Roma - Genoa 2:1	1.34	5.14	10.20
51	Fiorentina - Lazio 3:4	2.92	3.44	2.46
52	Sampdoria - Bologna 1:0	1.70	3.81	5.16
53	Torino - AC Milan 1:1	3.13	3.33	2.37
54	Benevento - Atalanta 0:3	6.25	4.37	1.53
55	Inter - Cagliari 4:0	1.21	6.69	16.00
56	Lazio - AS Roma 0:0	2.56	3.32	2.87
57	AC Milan - Napoli 0:0	4.26	3.55	1.90
58	Sassuolo - Benevento 2:2	1.67	3.97	5.18
59	Atalanta - Inter 0:0	2.61	3.25	2.84
60	Genoa - Crotone 1:0	1.88	3.25	4.89
61	AC Milan - Sassuolo 1:1	1.49	4.27	7.33
62	Crotone - Bologna 1:0	2.40	3.17	3.25
63	Verona - Cagliari 1:0	3.06	3.28	2.44
64	Sampdoria - Genoa 0:0	2.48	3.21	3.06
65	Spal - Atalanta 1:1	4.67	3.60	1.82
66	AC Milan - Inter 0:0	2.77	3.20	2.71
67	Torino - Crotone 4:1	1.58	3.96	6.32
68	Atalanta - Sampdoria 1:2	1.38	5.01	8.52
69	Udinese - Fiorentina 0:2	3.48	3.25	2.23
70	Juventus - AC Milan 3:1	1.63	3.63	6.48
71	Sassuolo - Napoli 1:1	8.46	4.64	1.41
72	Cagliari - Torino 0:4	3.04	3.29	2.45
73	Genoa - Spal 1:1	1.90	3.26	4.79
74	Lazio - Benevento 6:2	1.23	6.58	13.48
75	Lazio - Bologna 1:1	1.32	5.35	10.11
76	Benevento - Cagliari 1:2	2.30	3.36	3.26
77	Crotone - Juventus 1:1	11.58	4.99	1.32
78	Napoli - Udinese 4:2	1.22	6.43	15.05
79	Spal - Chievo 0:0	2.22	3.03	3.84
80	Verona - Sassuolo 0:1	4.40	3.56	1.87
81	Juventus - Sampdoria 3:0	1.31	5.25	11.92
82	Bologna - Verona 2:0	1.60	3.94	6.06
83	Fiorentina - Spal 0:0	1.50	4.18	7.41
84	Chievo - Torino 0:0	3.46	3.31	2.22
85	Cagliari - Udinese 2:1	2.42	3.11	3.26
86	Udinese - Lazio 1:2	5.28	3.94	1.67
87	Napoli - Chievo 2:1	1.15	8.03	21.17
88	Torino - Inter 1:0	4.11	3.60	1.94
89	AS Roma - Fiorentina 0:2	1.85	3.59	4.49
90	Benevento - Juventus 2:4	12.69	5.31	1.29
